date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:47:50	2372/2372	---M-Z	200	added ('OK')	text/xml	date:Wed,%2009%20Nov%202022%2000:47:50%20GMT	https://www.papeleradelsur.com.ar/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.papeleradelsur.com.ar%2Fen%2F&format=xml	C:/My%20Web%20Sites/empresapapelera/www.papeleradelsur.com.ar/wp-json/oembed/1.0/embed557b	(from https://www.papeleradelsur.com.ar/en/)
19:47:50	1253/1253	---M-Z	200	added ('OK')	image/svg+xml	etag:%224e5-63613d19-142109;gz%22	https://www.papeleradelsur.com.ar/assets/media/2022/09/favicon-pds.svg	C:/My%20Web%20Sites/empresapapelera/www.papeleradelsur.com.ar/assets/media/2022/09/favicon-pds.svg	(from https://www.papeleradelsur.com.ar/en/)
19:47:50	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2009%20Nov%202022%2000:47:50%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/empresapapelera/www.googletagmanager.com/gtm.f5445.delayed	(from https://www.papeleradelsur.com.ar/en/)
19:47:51	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2009%20Nov%202022%2000:47:50%20GMT	https://www.papeleradelsur.com.ar/en	C:/My%20Web%20Sites/empresapapelera/www.papeleradelsur.com.ar/en	(from https://www.papeleradelsur.com.ar/en/)
19:47:51	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2009%20Nov%202022%2000:47:51%20GMT	https://www.papeleradelsur.com.ar/en	C:/My%20Web%20Sites/empresapapelera/www.papeleradelsur.com.ar/en	(from https://www.papeleradelsur.com.ar/en/)
19:47:51	2631/2631	---M-Z	200	added ('OK')	image/svg+xml	etag:%22a47-63613d65-1627e9;gz%22	https://www.papeleradelsur.com.ar/assets/themes/papeleradelsur/img/trama/fondo_destacado_home_contador_2.svg	C:/My%20Web%20Sites/empresapapelera/www.papeleradelsur.com.ar/assets/themes/papeleradelsur/img/trama/fondo_destacado_home_contador_2.svg	(from https://www.papeleradelsur.com.ar/en/)
19:47:52	1839/1839	---M-Z	200	added ('OK')	image/svg+xml	etag:%2272f-63613d65-1627e0;gz%22	https://www.papeleradelsur.com.ar/assets/themes/papeleradelsur/img/trama/fondo_destacado_home_contador_mobile.svg	C:/My%20Web%20Sites/empresapapelera/www.papeleradelsur.com.ar/assets/themes/papeleradelsur/img/trama/fondo_destacado_home_contador_mobile.svg	(from https://www.papeleradelsur.com.ar/en/)
19:47:53	1701/1701	---M-Z	200	added ('OK')	image/svg+xml	etag:%226a5-63613d69-162809;gz%22	https://www.papeleradelsur.com.ar/assets/themes/papeleradelsur/img/leaf/leaf-s2-bottom-mobile.svg	C:/My%20Web%20Sites/empresapapelera/www.papeleradelsur.com.ar/assets/themes/papeleradelsur/img/leaf/leaf-s2-bottom-mobile.svg	(from https://www.papeleradelsur.com.ar/en/)
19:47:53	123651/123651	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2000:47:52%20GMT	https://www.papeleradelsur.com.ar/en/about-us/hz-group/	C:/My%20Web%20Sites/empresapapelera/www.papeleradelsur.com.ar/en/about-us/hz-group/index.html	(from https://www.papeleradelsur.com.ar/en/)
19:47:53	122850/122850	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2000:47:52%20GMT	https://www.papeleradelsur.com.ar/en/about-us/circular-purpose/	C:/My%20Web%20Sites/empresapapelera/www.papeleradelsur.com.ar/en/about-us/circular-purpose/index.html	(from https://www.papeleradelsur.com.ar/en/)
19:47:53	1074/1074	---M-Z	200	added ('OK')	image/svg+xml	etag:%22432-63613d69-16280d;gz%22	https://www.papeleradelsur.com.ar/assets/themes/papeleradelsur/img/leaf/leaf-s2-top-mobile.svg	C:/My%20Web%20Sites/empresapapelera/www.papeleradelsur.com.ar/assets/themes/papeleradelsur/img/leaf/leaf-s2-top-mobile.svg	(from https://www.papeleradelsur.com.ar/en/)
19:47:53	1117/1117	---M-Z	200	added ('OK')	image/svg+xml	etag:%2245d-63613d18-142104;gz%22	https://www.papeleradelsur.com.ar/assets/media/2022/09/cancha.svg	C:/My%20Web%20Sites/empresapapelera/www.papeleradelsur.com.ar/assets/media/2022/09/cancha.svg	(from https://www.papeleradelsur.com.ar/en/)
19:47:53	118144/118144	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2000:47:53%20GMT	https://www.papeleradelsur.com.ar/en/about-us/quality-management/	C:/My%20Web%20Sites/empresapapelera/www.papeleradelsur.com.ar/en/about-us/quality-management/index.html	(from https://www.papeleradelsur.com.ar/en/)
19:47:53	90318/90318	---M--	200	added ('OK')	image/jpeg	etag:%22160ce-63613d18-1420fb;;;%22	https://www.papeleradelsur.com.ar/assets/media/2022/09/img-1.jpg	C:/My%20Web%20Sites/empresapapelera/www.papeleradelsur.com.ar/assets/media/2022/09/img-1.jpg	(from https://www.papeleradelsur.com.ar/en/)
19:47:54	89518/89518	---M--	200	added ('OK')	image/jpeg	etag:%2215dae-63613cfa-142021;;;%22	https://www.papeleradelsur.com.ar/assets/media/2022/10/img-2.jpg	C:/My%20Web%20Sites/empresapapelera/www.papeleradelsur.com.ar/assets/media/2022/10/img-2.jpg	(from https://www.papeleradelsur.com.ar/en/)
19:47:55	229768/229768	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2000:47:54%20GMT	https://www.papeleradelsur.com.ar/en/products/	C:/My%20Web%20Sites/empresapapelera/www.papeleradelsur.com.ar/en/products/index.html	(from https://www.papeleradelsur.com.ar/en/)
19:47:55	98069/98069	---M--	200	added ('OK')	image/jpeg	etag:%2217f15-63613d18-142101;;;%22	https://www.papeleradelsur.com.ar/assets/media/2022/09/img-3.jpg	C:/My%20Web%20Sites/empresapapelera/www.papeleradelsur.com.ar/assets/media/2022/09/img-3.jpg	(from https://www.papeleradelsur.com.ar/en/)
19:47:55	234847/234847	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2000:47:54%20GMT	https://www.papeleradelsur.com.ar/en/product/duplexpack-en/	C:/My%20Web%20Sites/empresapapelera/www.papeleradelsur.com.ar/en/product/duplexpack-en/index.html	(from https://www.papeleradelsur.com.ar/en/)
